# delta_L(z=0)            delta_SC                  ddelta_SC/ddelta_L
-1.081300676370106117e+01 -9.611065226888355628e-01 4.875053167724394988e-03
-1.079639336510114944e+01 -9.610253916801702045e-01 4.891897316758262067e-03
-1.077980426078958232e+01 -9.609440994150907356e-01 4.908797866998709271e-03
-1.076323941505753545e+01 -9.608626456020448181e-01 4.925754998410662375e-03
-1.074669879224895830e+01 -9.607810299490574524e-01 4.942768891489894220e-03
-1.073018235676053145e+01 -9.606992521637298665e-01 4.959839727264454129e-03
-1.071369007304156362e+01 -9.606173119532402938e-01 4.976967687295930781e-03
-1.069722190559392239e+01 -9.605352090243433061e-01 4.994152953680875556e-03
-1.068077781897195599e+01 -9.604529430833691483e-01 5.011395709052161689e-03
-1.066435777778242588e+01 -9.603705138362245153e-01 5.028696136580323474e-03
-1.064796174668441431e+01 -9.602879209883914413e-01 5.046054419974955324e-03
-1.063158969038925328e+01 -9.602051642449274116e-01 5.063470743486046637e-03
-1.061524157366045351e+01 -9.601222433104652509e-01 5.080945291905399931e-03
-1.059891736131362094e+01 -9.600391578892126798e-01 5.098478250567951842e-03
-1.058261701821638212e+01 -9.599559076849522032e-01 5.116069805353212069e-03
-1.056634050928830781e+01 -9.598724924010409998e-01 5.133720142686603455e-03
-1.055008779950084019e+01 -9.597889117404104775e-01 5.151429449540853231e-03
-1.053385885387720755e+01 -9.597051654055662739e-01 5.169197913437372123e-03
-1.051765363749235505e+01 -9.596212530985879230e-01 5.187025722447656008e-03
-1.050147211547287363e+01 -9.595371745211286330e-01 5.204913065194691907e-03
-1.048531425299691122e+01 -9.594529293744152865e-01 5.222860130854304131e-03
-1.046918001529410525e+01 -9.593685173592477744e-01 5.240867109156570683e-03
-1.045306936764550798e+01 -9.592839381759994399e-01 5.258934190387256138e-03
-1.043698227538350665e+01 -9.591991915246161904e-01 5.277061565389152588e-03
-1.042091870389174701e+01 -9.591142771046168303e-01 5.295249425563526395e-03
-1.040487861860506236e+01 -9.590291946150927282e-01 5.313497962871484293e-03
-1.038886198500940417e+01 -9.589439437547072620e-01 5.331807369835439223e-03
-1.037286876864174801e+01 -9.588585242216962623e-01 5.350177839540452146e-03
-1.035689893509003490e+01 -9.587729357138671249e-01 5.368609565635691812e-03
-1.034095244999309138e+01 -9.586871779285993656e-01 5.387102742335823403e-03
-1.032502927904055845e+01 -9.586012505628435099e-01 5.405657564422437084e-03
-1.030912938797280454e+01 -9.585151533131217594e-01 5.424274227245488682e-03
-1.029325274258087042e+01 -9.584288858755275475e-01 5.442952926724664922e-03
-1.027739930870637330e+01 -9.583424479457248735e-01 5.461693859350864010e-03
-1.026156905224145532e+01 -9.582558392189488572e-01 5.480497222187582541e-03
-1.024576193912868405e+01 -9.581690593900051844e-01 5.499363212872368338e-03
-1.022997793536099920e+01 -9.580821081532696626e-01 5.518292029618253325e-03
-1.021421700698163271e+01 -9.579949852026885537e-01 5.537283871215163862e-03
-1.019847912008402524e+01 -9.579076902317782416e-01 5.556338937031380515e-03
-1.018276424081176934e+01 -9.578202229336247875e-01 5.575457427014966598e-03
-1.016707233535851884e+01 -9.577325830008840413e-01 5.594639541695199322e-03
-1.015140336996792847e+01 -9.576447701257815304e-01 5.613885482184032168e-03
-1.013575731093357035e+01 -9.575567840001117936e-01 5.633195450177551182e-03
-1.012013412459886830e+01 -9.574686243152388254e-01 5.652569647957370567e-03
-1.010453377735702141e+01 -9.573802907620955205e-01 5.672008278392131481e-03
-1.008895623565092770e+01 -9.572917830311837850e-01 5.691511544938938384e-03
-1.007340146597312014e+01 -9.572031008125739815e-01 5.711079651644810143e-03
-1.005786943486568319e+01 -9.571142437959052618e-01 5.730712803148153671e-03
-1.004236010892018527e+01 -9.570252116703850120e-01 5.750411204680219365e-03
-1.002687345477760594e+01 -9.569360041247887416e-01 5.770175062066519242e-03
-1.001140943912826486e+01 -9.568466208474600831e-01 5.790004581728384718e-03
-9.995968028711743614e+00 -9.567570615263107925e-01 5.809899970684330103e-03
-9.980549190316818198e+00 -9.566673258488199716e-01 5.829861436551603444e-03
-9.965152890781389772e+00 -9.565774135020346236e-01 5.849889187547601191e-03
-9.949779096992397598e+00 -9.564873241725690978e-01 5.869983432491380007e-03
-9.934427775885772860e+00 -9.563970575466049784e-01 5.890144380805109603e-03
-9.919098894446333858e+00 -9.563066133098913069e-01 5.910372242515575872e-03
-9.903792419707748707e+00 -9.562159911477436935e-01 5.930667228255638058e-03
-9.888508318752430526e+00 -9.561251907450448728e-01 5.951029549265714549e-03
-9.873246558711496590e+00 -9.560342117862444811e-01 5.971459417395297287e-03
-9.858007106764668848e+00 -9.559430539553582795e-01 5.991957045104391588e-03
-9.842789930140225962e+00 -9.558517169359690424e-01 6.012522645465039235e-03
-9.827594996114914494e+00 -9.557602004112254468e-01 6.033156432162833753e-03
-9.812422272013886726e+00 -9.556685040638426276e-01 6.053858619498334211e-03
-9.797271725210631388e+00 -9.555766275761016226e-01 6.074629422388671575e-03
-9.782143323126893719e+00 -9.554845706298494834e-01 6.095469056368958173e-03
-9.767037033232611520e+00 -9.553923329064990533e-01 6.116377737593824658e-03
-9.751952823045842322e+00 -9.552999140870289674e-01 6.137355682838943095e-03
-9.736890660132694109e+00 -9.552073138519833195e-01 6.158403109502502346e-03
-9.721850512107252484e+00 -9.551145318814716623e-01 6.179520235606731152e-03
-9.706832346631509623e+00 -9.550215678551688958e-01 6.200707279799395205e-03
-9.691836131415296762e+00 -9.549284214523151570e-01 6.221964461355326305e-03
-9.676861834216216707e+00 -9.548350923517157085e-01 6.243292000177958455e-03
-9.661909422839555006e+00 -9.547415802317408273e-01 6.264690116800796307e-03
-9.646978865138244430e+00 -9.546478847703256942e-01 6.286159032388961669e-03
-9.632070129012761939e+00 -9.545540056449699495e-01 6.307698968740751283e-03
-9.617183182411071840e+00 -9.544599425327384701e-01 6.329310148289065373e-03
-9.602317993328561840e+00 -9.543656951102602592e-01 6.350992794103053896e-03
-9.587474529807961332e+00 -9.542712630537290019e-01 6.372747129889552026e-03
-9.572652759939284550e+00 -9.541766460389025095e-01 6.394573379994686509e-03
-9.557852651859747084e+00 -9.540818437411032749e-01 6.416471769405305073e-03
-9.543074173753709033e+00 -9.539868558352176953e-01 6.438442523750651306e-03
-9.528317293852598624e+00 -9.538916819956962945e-01 6.460485869303787994e-03
-9.513581980434846486e+00 -9.537963218965536116e-01 6.482602032983209549e-03
-9.498868201825812818e+00 -9.537007752113680903e-01 6.504791242354325195e-03
-9.484175926397723444e+00 -9.536050416132820784e-01 6.527053725631040172e-03
-9.469505122569595201e+00 -9.535091207750014952e-01 6.549389711677339534e-03
-9.454855758807175548e+00 -9.534130123687961644e-01 6.571799430008766138e-03
-9.440227803622859071e+00 -9.533167160664992590e-01 6.594283110793989697e-03
-9.425621225575637752e+00 -9.532202315395075232e-01 6.616840984856408800e-03
-9.411035993271019251e+00 -9.531235584587811616e-01 6.639473283675644509e-03
-9.396472075360966514e+00 -9.530266964948438391e-01 6.662180239389156253e-03
-9.381929440543816057e+00 -9.529296453177823478e-01 6.684962084793735423e-03
-9.367408057564230006e+00 -9.528324045972468292e-01 6.707819053347162039e-03
-9.352907895213109057e+00 -9.527349740024504410e-01 6.730751379169652368e-03
-9.338428922327539183e+00 -9.526373532021694679e-01 6.753759297045559828e-03
-9.323971107790715251e+00 -9.525395418647433221e-01 6.776843042424826949e-03
-9.309534420531875298e+00 -9.524415396580744320e-01 6.800002851424610806e-03
-9.295118829526227699e+00 -9.523433462496277979e-01 6.823238960830865091e-03
-9.280724303794903207e+00 -9.522449613064316587e-01 6.846551608099899627e-03
-9.266350812404855475e+00 -9.521463844950769362e-01 6.869941031359937285e-03
-9.251998324468820201e+00 -9.520476154817173464e-01 6.893407469412757629e-03
-9.237666809145245850e+00 -9.519486539320690666e-01 6.916951161735213072e-03
-9.223356235638206613e+00 -9.518494995114114010e-01 6.940572348480870783e-03
-9.209066573197359773e+00 -9.517501518845858932e-01 6.964271270481515834e-03
-9.194797791117860442e+00 -9.516506107159967698e-01 6.988048169248867701e-03
-9.180549858740302938e+00 -9.515508756696108295e-01 7.011903286976040039e-03
-9.166322745450655063e+00 -9.514509464089575541e-01 7.035836866539217291e-03
-9.152116420680190600e+00 -9.513508225971285537e-01 7.059849151499228946e-03
-9.137930853905416484e+00 -9.512505038967781212e-01 7.083940386103146358e-03
-9.123766014648015954e+00 -9.511499899701228999e-01 7.108110815285836187e-03
-9.109621872474773951e+00 -9.510492804789421051e-01 7.132360684671658693e-03
-9.095498396997516721e+00 -9.509483750845770800e-01 7.156690240576022918e-03
-9.081395557873042534e+00 -9.508472734479315180e-01 7.181099730006937527e-03
-9.067313324803057739e+00 -9.507459752294715738e-01 7.205589400666731655e-03
-9.053251667534107483e+00 -9.506444800892257518e-01 7.230159500953543296e-03
-9.039210555857513540e+00 -9.505427876867847958e-01 7.254810279963028880e-03
-9.025189959609305035e+00 -9.504408976813016885e-01 7.279541987489942731e-03
-9.011189848670158042e+00 -9.503388097314916516e-01 7.304354874029740825e-03
-8.997210192965326314e+00 -9.502365234956323681e-01 7.329249190780217499e-03
-8.983250962464566669e+00 -9.501340386315636488e-01 7.354225189643118742e-03
-8.969312127182098138e+00 -9.500313547966877659e-01 7.379283123225744215e-03
-8.955393657176511368e+00 -9.499284716479690083e-01 7.404423244842609116e-03
-8.941495522550711783e+00 -9.498253888419341262e-01 7.429645808517040123e-03
-8.927617693451866288e+00 -9.497221060346719979e-01 7.454951068982874560e-03
-8.913760140071318006e+00 -9.496186228818339625e-01 7.480339281685954855e-03
-8.899922832644541870e+00 -9.495149390386337096e-01 7.505810702785893629e-03
-8.886105741451057582e+00 -9.494110541598469455e-01 7.531365589157631470e-03
-8.872308836814385202e+00 -9.493069678998120597e-01 7.557004198393102272e-03
-8.858532089101972318e+00 -9.492026799124296810e-01 7.582726788802873416e-03
-8.844775468725124767e+00 -9.490981898511626769e-01 7.608533619417767735e-03
-8.831038946138951573e+00 -9.489934973690364872e-01 7.634424949990558339e-03
-8.817322491842286780e+00 -9.488886021186390130e-01 7.660401040997498641e-03
