# variances: var_g = 4.85771e-02 ;  cov_gk = 5.81613e-04 ;  var_k_correlated = 8.96469e-06 ;  var_k_uncorrelated = 4.05325e-05
# shift params: lambda_g = 1.46148e+00 ;  lambda_k_correlated = 2.44045e-02 ;  lambda_k_uncorrelated = 5.73463e-02
# ell          C_gg(ell)          C_gk(ell)          C_kk_correlated(ell)          C_kk_uncorrelated(ell)
245    6.10646e-06    7.30730e-08    1.09448e-09    4.74003e-09
246    6.05972e-06    7.25344e-08    1.08815e-09    4.71376e-09
247    6.01330e-06    7.19997e-08    1.08186e-09    4.68776e-09
248    5.96724e-06    7.14693e-08    1.07562e-09    4.66202e-09
249    5.92158e-06    7.09433e-08    1.06943e-09    4.63654e-09
250    5.87634e-06    7.04222e-08    1.06327e-09    4.61133e-09
251    5.83156e-06    6.99062e-08    1.05716e-09    4.58637e-09
252    5.78727e-06    6.93957e-08    1.05109e-09    4.56167e-09
253    5.74350e-06    6.88909e-08    1.04506e-09    4.53721e-09
254    5.70027e-06    6.83921e-08    1.03907e-09    4.51301e-09
255    5.65762e-06    6.78994e-08    1.03312e-09    4.48905e-09
256    5.61555e-06    6.74132e-08    1.02721e-09    4.46533e-09
257    5.57411e-06    6.69336e-08    1.02133e-09    4.44185e-09
258    5.53330e-06    6.64609e-08    1.01549e-09    4.41860e-09
259    5.49314e-06    6.59951e-08    1.00969e-09    4.39559e-09
260    5.45366e-06    6.55364e-08    1.00392e-09    4.37281e-09
261    5.41486e-06    6.50849e-08    9.98196e-10    4.35026e-09
262    5.37675e-06    6.46408e-08    9.92505e-10    4.32793e-09
263    5.33935e-06    6.42041e-08    9.86850e-10    4.30582e-09
264    5.30266e-06    6.37750e-08    9.81231e-10    4.28392e-09
265    5.26669e-06    6.33533e-08    9.75649e-10    4.26225e-09
266    5.23144e-06    6.29393e-08    9.70104e-10    4.24078e-09
267    5.19692e-06    6.25328e-08    9.64595e-10    4.21952e-09
268    5.16312e-06    6.21339e-08    9.59123e-10    4.19846e-09
269    5.13005e-06    6.17425e-08    9.53688e-10    4.17761e-09
270    5.09769e-06    6.13586e-08    9.48290e-10    4.15696e-09
271    5.06605e-06    6.09822e-08    9.42929e-10    4.13650e-09
272    5.03511e-06    6.06131e-08    9.37607e-10    4.11623e-09
273    5.00487e-06    6.02513e-08    9.32322e-10    4.09615e-09
274    4.97532e-06    5.98966e-08    9.27075e-10    4.07626e-09
275    4.94645e-06    5.95490e-08    9.21866e-10    4.05655e-09
276    4.91824e-06    5.92084e-08    9.16696e-10    4.03702e-09
277    4.89067e-06    5.88744e-08    9.11565e-10    4.01768e-09
278    4.86375e-06    5.85471e-08    9.06472e-10    3.99850e-09
279    4.83744e-06    5.82263e-08    9.01419e-10    3.97950e-09
280    4.81172e-06    5.79117e-08    8.96405e-10    3.96066e-09
281    4.78659e-06    5.76033e-08    8.91430e-10    3.94200e-09
282    4.76202e-06    5.73007e-08    8.86495e-10    3.92350e-09
283    4.73799e-06    5.70038e-08    8.81600e-10    3.90515e-09
284    4.71448e-06    5.67125e-08    8.76744e-10    3.88697e-09
285    4.69147e-06    5.64264e-08    8.71929e-10    3.86895e-09
286    4.66893e-06    5.61454e-08    8.67153e-10    3.85108e-09
