#Cosmological Parameters: Om_m = 3.1750000000e-01, Om_l = 6.8250000000e-01, Om_r = 0.0000000000e+00
#a_max = 1.0100000000e+00
#t              eta(t)              w(eta)              z(eta)              a(eta)              H(eta)       H_prime(eta)
3.4387114020e-01    2.3444176127e+00    8.8535829765e-01    1.2338339832e+00    4.4766084119e-01    9.1979097939e-01   -2.1784798872e-01
3.4390774339e-01    2.3444993751e+00    8.8527653528e-01    1.2336659972e+00    4.4769450815e-01    9.1977316956e-01   -2.1780074774e-01
3.4394434728e-01    2.3445811329e+00    8.8519477747e-01    1.2334980365e+00    4.4772817511e-01    9.1975536458e-01   -2.1775350923e-01
3.4398095189e-01    2.3446628861e+00    8.8511302423e-01    1.2333301011e+00    4.4776184206e-01    9.1973756445e-01   -2.1770627318e-01
3.4401755720e-01    2.3447446348e+00    8.8503127556e-01    1.2331621909e+00    4.4779550902e-01    9.1971976919e-01   -2.1765903959e-01
3.4405416322e-01    2.3448263789e+00    8.8494953145e-01    1.2329943060e+00    4.4782917597e-01    9.1970197877e-01   -2.1761180847e-01
3.4409076995e-01    2.3449081184e+00    8.8486779190e-01    1.2328264463e+00    4.4786284293e-01    9.1968419321e-01   -2.1756457980e-01
3.4412737739e-01    2.3449898534e+00    8.8478605692e-01    1.2326586118e+00    4.4789650988e-01    9.1966641250e-01   -2.1751735359e-01
3.4416398553e-01    2.3450715838e+00    8.8470432650e-01    1.2324908026e+00    4.4793017684e-01    9.1964863665e-01   -2.1747012984e-01
3.4420059439e-01    2.3451533097e+00    8.8462260065e-01    1.2323230186e+00    4.4796384379e-01    9.1963086565e-01   -2.1742290855e-01
3.4423720395e-01    2.3452350310e+00    8.8454087936e-01    1.2321552598e+00    4.4799751075e-01    9.1961309950e-01   -2.1737568972e-01
3.4427381421e-01    2.3453167477e+00    8.8445916263e-01    1.2319875262e+00    4.4803117771e-01    9.1959533820e-01   -2.1732847333e-01
3.4431042519e-01    2.3453984599e+00    8.8437745046e-01    1.2318198179e+00    4.4806484466e-01    9.1957758174e-01   -2.1728125941e-01
3.4434703687e-01    2.3454801675e+00    8.8429574285e-01    1.2316521347e+00    4.4809851162e-01    9.1955983014e-01   -2.1723404793e-01
3.4438364925e-01    2.3455618705e+00    8.8421403981e-01    1.2314844767e+00    4.4813217857e-01    9.1954208339e-01   -2.1718683891e-01
3.4442026235e-01    2.3456435690e+00    8.8413234133e-01    1.2313168439e+00    4.4816584553e-01    9.1952434148e-01   -2.1713963234e-01
3.4445687615e-01    2.3457252629e+00    8.8405064741e-01    1.2311492363e+00    4.4819951248e-01    9.1950660442e-01   -2.1709242823e-01
3.4449349065e-01    2.3458069523e+00    8.8396895805e-01    1.2309816539e+00    4.4823317944e-01    9.1948887221e-01   -2.1704522656e-01
3.4453010587e-01    2.3458886371e+00    8.8388727325e-01    1.2308140967e+00    4.4826684639e-01    9.1947114484e-01   -2.1699802734e-01
3.4456672179e-01    2.3459703173e+00    8.8380559301e-01    1.2306465646e+00    4.4830051335e-01    9.1945342232e-01   -2.1695083057e-01
3.4460333841e-01    2.3460519930e+00    8.8372391733e-01    1.2304790576e+00    4.4833418031e-01    9.1943570464e-01   -2.1690363624e-01
3.4463995574e-01    2.3461336641e+00    8.8364224621e-01    1.2303115759e+00    4.4836784726e-01    9.1941799180e-01   -2.1685644436e-01
3.4467657377e-01    2.3462153307e+00    8.8356057965e-01    1.2301441193e+00    4.4840151422e-01    9.1940028381e-01   -2.1680925493e-01
3.4471319251e-01    2.3462969927e+00    8.8347891765e-01    1.2299766878e+00    4.4843518117e-01    9.1938258066e-01   -2.1676206794e-01
3.4474981196e-01    2.3463786501e+00    8.8339726020e-01    1.2298092815e+00    4.4846884813e-01    9.1936488235e-01   -2.1671488340e-01
3.4478643211e-01    2.3464603030e+00    8.8331560732e-01    1.2296419003e+00    4.4850251508e-01    9.1934718888e-01   -2.1666770130e-01
3.4482305296e-01    2.3465419514e+00    8.8323395899e-01    1.2294745442e+00    4.4853618204e-01    9.1932950025e-01   -2.1662052163e-01
3.4485967452e-01    2.3466235951e+00    8.8315231522e-01    1.2293072132e+00    4.4856984899e-01    9.1931181646e-01   -2.1657334442e-01
3.4489629679e-01    2.3467052343e+00    8.8307067601e-01    1.2291399074e+00    4.4860351595e-01    9.1929413751e-01   -2.1652616964e-01
3.4493291975e-01    2.3467868690e+00    8.8298904135e-01    1.2289726267e+00    4.4863718291e-01    9.1927646340e-01   -2.1647899730e-01
3.4496954343e-01    2.3468684991e+00    8.8290741125e-01    1.2288053710e+00    4.4867084986e-01    9.1925879412e-01   -2.1643182739e-01
3.4500616780e-01    2.3469501246e+00    8.8282578571e-01    1.2286381405e+00    4.4870451682e-01    9.1924112968e-01   -2.1638465993e-01
3.4504279288e-01    2.3470317456e+00    8.8274416472e-01    1.2284709351e+00    4.4873818377e-01    9.1922347007e-01   -2.1633749490e-01
3.4507941866e-01    2.3471133621e+00    8.8266254829e-01    1.2283037547e+00    4.4877185073e-01    9.1920581530e-01   -2.1629033231e-01
3.4511604515e-01    2.3471949739e+00    8.8258093642e-01    1.2281365995e+00    4.4880551768e-01    9.1918816537e-01   -2.1624317215e-01
3.4515267234e-01    2.3472765813e+00    8.8249932910e-01    1.2279694693e+00    4.4883918464e-01    9.1917052027e-01   -2.1619601442e-01
3.4518930023e-01    2.3473581840e+00    8.8241772633e-01    1.2278023642e+00    4.4887285160e-01    9.1915288000e-01   -2.1614885913e-01
3.4522592883e-01    2.3474397822e+00    8.8233612812e-01    1.2276352841e+00    4.4890651855e-01    9.1913524456e-01   -2.1610170627e-01
3.4526255813e-01    2.3475213759e+00    8.8225453446e-01    1.2274682291e+00    4.4894018551e-01    9.1911761396e-01   -2.1605455584e-01
3.4529918813e-01    2.3476029650e+00    8.8217294536e-01    1.2273011992e+00    4.4897385246e-01    9.1909998818e-01   -2.1600740784e-01
3.4533581883e-01    2.3476845495e+00    8.8209136081e-01    1.2271341943e+00    4.4900751942e-01    9.1908236724e-01   -2.1596026227e-01
3.4537245023e-01    2.3477661295e+00    8.8200978081e-01    1.2269672145e+00    4.4904118637e-01    9.1906475113e-01   -2.1591311913e-01
3.4540908234e-01    2.3478477050e+00    8.8192820537e-01    1.2268002597e+00    4.4907485333e-01    9.1904713984e-01   -2.1586597842e-01
3.4544571515e-01    2.3479292759e+00    8.8184663448e-01    1.2266333299e+00    4.4910852028e-01    9.1902953338e-01   -2.1581884013e-01
3.4548234866e-01    2.3480108422e+00    8.8176506814e-01    1.2264664251e+00    4.4914218724e-01    9.1901193175e-01   -2.1577170427e-01
3.4551898287e-01    2.3480924040e+00    8.8168350635e-01    1.2262995454e+00    4.4917585420e-01    9.1899433495e-01   -2.1572457083e-01
3.4555561779e-01    2.3481739612e+00    8.8160194912e-01    1.2261326907e+00    4.4920952115e-01    9.1897674297e-01   -2.1567743981e-01
3.4559225340e-01    2.3482555139e+00    8.8152039643e-01    1.2259658610e+00    4.4924318811e-01    9.1895915582e-01   -2.1563031122e-01
3.4562888972e-01    2.3483370620e+00    8.8143884830e-01    1.2257990563e+00    4.4927685506e-01    9.1894157349e-01   -2.1558318506e-01
3.4566552673e-01    2.3484186056e+00    8.8135730472e-01    1.2256322766e+00    4.4931052202e-01    9.1892399599e-01   -2.1553606131e-01
3.4570216445e-01    2.3485001447e+00    8.8127576569e-01    1.2254655218e+00    4.4934418897e-01    9.1890642331e-01   -2.1548893998e-01
3.4573880287e-01    2.3485816791e+00    8.8119423121e-01    1.2252987921e+00    4.4937785593e-01    9.1888885545e-01   -2.1544182107e-01
3.4577544199e-01    2.3486632091e+00    8.8111270127e-01    1.2251320874e+00    4.4941152288e-01    9.1887129241e-01   -2.1539470458e-01
3.4581208181e-01    2.3487447345e+00    8.8103117589e-01    1.2249654076e+00    4.4944518984e-01    9.1885373420e-01   -2.1534759051e-01
3.4584872233e-01    2.3488262553e+00    8.8094965506e-01    1.2247987528e+00    4.4947885680e-01    9.1883618080e-01   -2.1530047886e-01
3.4588536354e-01    2.3489077716e+00    8.8086813877e-01    1.2246321229e+00    4.4951252375e-01    9.1881863223e-01   -2.1525336962e-01
3.4592200546e-01    2.3489892833e+00    8.8078662704e-01    1.2244655181e+00    4.4954619071e-01    9.1880108847e-01   -2.1520626279e-01
3.4595864808e-01    2.3490707905e+00    8.8070511985e-01    1.2242989381e+00    4.4957985766e-01    9.1878354954e-01   -2.1515915838e-01
3.4599529140e-01    2.3491522931e+00    8.8062361721e-01    1.2241323831e+00    4.4961352462e-01    9.1876601542e-01   -2.1511205639e-01
3.4603193541e-01    2.3492337912e+00    8.8054211912e-01    1.2239658531e+00    4.4964719157e-01    9.1874848611e-01   -2.1506495680e-01
3.4606858013e-01    2.3493152848e+00    8.8046062557e-01    1.2237993480e+00    4.4968085853e-01    9.1873096163e-01   -2.1501785963e-01
3.4610522554e-01    2.3493967738e+00    8.8037913657e-01    1.2236328678e+00    4.4971452548e-01    9.1871344196e-01   -2.1497076487e-01
3.4614187166e-01    2.3494782582e+00    8.8029765212e-01    1.2234664126e+00    4.4974819244e-01    9.1869592710e-01   -2.1492367251e-01
3.4617851847e-01    2.3495597381e+00    8.8021617221e-01    1.2232999822e+00    4.4978185940e-01    9.1867841706e-01   -2.1487658257e-01
3.4621516598e-01    2.3496412135e+00    8.8013469686e-01    1.2231335768e+00    4.4981552635e-01    9.1866091183e-01   -2.1482949503e-01
3.4625181419e-01    2.3497226843e+00    8.8005322604e-01    1.2229671963e+00    4.4984919331e-01    9.1864341141e-01   -2.1478240990e-01
3.4628846309e-01    2.3498041506e+00    8.7997175977e-01    1.2228008407e+00    4.4988286026e-01    9.1862591581e-01   -2.1473532718e-01
3.4632511270e-01    2.3498856123e+00    8.7989029805e-01    1.2226345100e+00    4.4991652722e-01    9.1860842502e-01   -2.1468824686e-01
3.4636176300e-01    2.3499670695e+00    8.7980884087e-01    1.2224682041e+00    4.4995019417e-01    9.1859093904e-01   -2.1464116894e-01
3.4639841400e-01    2.3500485221e+00    8.7972738824e-01    1.2223019232e+00    4.4998386113e-01    9.1857345787e-01   -2.1459409343e-01
3.4643506570e-01    2.3501299702e+00    8.7964594015e-01    1.2221356672e+00    4.5001752808e-01    9.1855598150e-01   -2.1454702033e-01
3.4647171809e-01    2.3502114138e+00    8.7956449660e-01    1.2219694360e+00    4.5005119504e-01    9.1853850995e-01   -2.1449994962e-01
3.4650837118e-01    2.3502928528e+00    8.7948305760e-01    1.2218032297e+00    4.5008486200e-01    9.1852104321e-01   -2.1445288131e-01
3.4654502497e-01    2.3503742872e+00    8.7940162314e-01    1.2216370482e+00    4.5011852895e-01    9.1850358127e-01   -2.1440581541e-01
3.4658167946e-01    2.3504557171e+00    8.7932019322e-01    1.2214708916e+00    4.5015219591e-01    9.1848612414e-01   -2.1435875190e-01
3.4661833464e-01    2.3505371425e+00    8.7923876785e-01    1.2213047599e+00    4.5018586286e-01    9.1846867181e-01   -2.1431169079e-01
3.4665499052e-01    2.3506185633e+00    8.7915734701e-01    1.2211386530e+00    4.5021952982e-01    9.1845122429e-01   -2.1426463208e-01
3.4669164709e-01    2.3506999796e+00    8.7907593072e-01    1.2209725709e+00    4.5025319677e-01    9.1843378157e-01   -2.1421757576e-01
3.4672830436e-01    2.3507813914e+00    8.7899451898e-01    1.2208065137e+00    4.5028686373e-01    9.1841634366e-01   -2.1417052184e-01
3.4676496233e-01    2.3508627986e+00    8.7891311177e-01    1.2206404813e+00    4.5032053068e-01    9.1839891055e-01   -2.1412347031e-01
3.4680162099e-01    2.3509442012e+00    8.7883170910e-01    1.2204744737e+00    4.5035419764e-01    9.1838148225e-01   -2.1407642118e-01
3.4683828035e-01    2.3510255994e+00    8.7875031098e-01    1.2203084910e+00    4.5038786460e-01    9.1836405874e-01   -2.1402937444e-01
3.4687494040e-01    2.3511069930e+00    8.7866891739e-01    1.2201425331e+00    4.5042153155e-01    9.1834664004e-01   -2.1398233009e-01
3.4691160115e-01    2.3511883820e+00    8.7858752835e-01    1.2199765999e+00    4.5045519851e-01    9.1832922614e-01   -2.1393528814e-01
3.4694826259e-01    2.3512697665e+00    8.7850614384e-01    1.2198106916e+00    4.5048886546e-01    9.1831181703e-01   -2.1388824857e-01
3.4698492473e-01    2.3513511465e+00    8.7842476388e-01    1.2196448081e+00    4.5052253242e-01    9.1829441273e-01   -2.1384121139e-01
3.4702158756e-01    2.3514325219e+00    8.7834338845e-01    1.2194789493e+00    4.5055619937e-01    9.1827701322e-01   -2.1379417660e-01
3.4705825109e-01    2.3515138928e+00    8.7826201756e-01    1.2193131154e+00    4.5058986633e-01    9.1825961852e-01   -2.1374714420e-01
3.4709491531e-01    2.3515952591e+00    8.7818065121e-01    1.2191473062e+00    4.5062353328e-01    9.1824222860e-01   -2.1370011419e-01
3.4713158023e-01    2.3516766209e+00    8.7809928940e-01    1.2189815218e+00    4.5065720024e-01    9.1822484349e-01   -2.1365308656e-01
3.4716824584e-01    2.3517579782e+00    8.7801793213e-01    1.2188157622e+00    4.5069086720e-01    9.1820746317e-01   -2.1360606131e-01
3.4720491215e-01    2.3518393310e+00    8.7793657939e-01    1.2186500273e+00    4.5072453415e-01    9.1819008764e-01   -2.1355903845e-01
3.4724157914e-01    2.3519206792e+00    8.7785523119e-01    1.2184843172e+00    4.5075820111e-01    9.1817271691e-01   -2.1351201798e-01
3.4727824684e-01    2.3520020228e+00    8.7777388753e-01    1.2183186318e+00    4.5079186806e-01    9.1815535098e-01   -2.1346499988e-01
3.4731491522e-01    2.3520833619e+00    8.7769254841e-01    1.2181529712e+00    4.5082553502e-01    9.1813798983e-01   -2.1341798417e-01
3.4735158430e-01    2.3521646965e+00    8.7761121382e-01    1.2179873353e+00    4.5085920197e-01    9.1812063348e-01   -2.1337097083e-01
3.4738825407e-01    2.3522460266e+00    8.7752988377e-01    1.2178217242e+00    4.5089286893e-01    9.1810328192e-01   -2.1332395988e-01
3.4742492454e-01    2.3523273521e+00    8.7744855825e-01    1.2176561378e+00    4.5092653588e-01    9.1808593515e-01   -2.1327695130e-01
3.4746159569e-01    2.3524086731e+00    8.7736723727e-01    1.2174905761e+00    4.5096020284e-01    9.1806859317e-01   -2.1322994511e-01
3.4749826754e-01    2.3524899895e+00    8.7728592082e-01    1.2173250391e+00    4.5099386980e-01    9.1805125598e-01   -2.1318294128e-01
3.4753494009e-01    2.3525713014e+00    8.7720460891e-01    1.2171595269e+00    4.5102753675e-01    9.1803392358e-01   -2.1313593984e-01
3.4757161332e-01    2.3526526088e+00    8.7712330153e-01    1.2169940394e+00    4.5106120371e-01    9.1801659597e-01   -2.1308894077e-01
3.4760828725e-01    2.3527339117e+00    8.7704199869e-01    1.2168285765e+00    4.5109487066e-01    9.1799927314e-01   -2.1304194407e-01
3.4764496187e-01    2.3528152100e+00    8.7696070038e-01    1.2166631384e+00    4.5112853762e-01    9.1798195510e-01   -2.1299494975e-01
3.4768163718e-01    2.3528965037e+00    8.7687940660e-01    1.2164977249e+00    4.5116220457e-01    9.1796464185e-01   -2.1294795780e-01
3.4771831318e-01    2.3529777930e+00    8.7679811736e-01    1.2163323361e+00    4.5119587153e-01    9.1794733338e-01   -2.1290096823e-01
3.4775498987e-01    2.3530590777e+00    8.7671683265e-01    1.2161669720e+00    4.5122953848e-01    9.1793002970e-01   -2.1285398102e-01
3.4779166726e-01    2.3531403579e+00    8.7663555247e-01    1.2160016326e+00    4.5126320544e-01    9.1791273080e-01   -2.1280699618e-01
3.4782834533e-01    2.3532216335e+00    8.7655427683e-01    1.2158363179e+00    4.5129687240e-01    9.1789543668e-01   -2.1276001371e-01
3.4786502410e-01    2.3533029046e+00    8.7647300572e-01    1.2156710278e+00    4.5133053935e-01    9.1787814735e-01   -2.1271303361e-01
3.4790170356e-01    2.3533841712e+00    8.7639173913e-01    1.2155057624e+00    4.5136420631e-01    9.1786086279e-01   -2.1266605588e-01
3.4793838371e-01    2.3534654333e+00    8.7631047708e-01    1.2153405216e+00    4.5139787326e-01    9.1784358302e-01   -2.1261908051e-01
3.4797506455e-01    2.3535466908e+00    8.7622921957e-01    1.2151753055e+00    4.5143154022e-01    9.1782630803e-01   -2.1257210751e-01
3.4801174608e-01    2.3536279438e+00    8.7614796658e-01    1.2150101140e+00    4.5146520717e-01    9.1780903782e-01   -2.1252513688e-01
3.4804842830e-01    2.3537091922e+00    8.7606671812e-01    1.2148449471e+00    4.5149887413e-01    9.1779177239e-01   -2.1247816860e-01
3.4808511121e-01    2.3537904362e+00    8.7598547419e-01    1.2146798049e+00    4.5153254108e-01    9.1777451174e-01   -2.1243120269e-01
3.4812179480e-01    2.3538716756e+00    8.7590423479e-01    1.2145146873e+00    4.5156620804e-01    9.1775725586e-01   -2.1238423914e-01
3.4815847909e-01    2.3539529104e+00    8.7582299993e-01    1.2143495943e+00    4.5159987500e-01    9.1774000476e-01   -2.1233727796e-01
3.4819516407e-01    2.3540341408e+00    8.7574176959e-01    1.2141845260e+00    4.5163354195e-01    9.1772275844e-01   -2.1229031913e-01
3.4823184974e-01    2.3541153666e+00    8.7566054378e-01    1.2140194822e+00    4.5166720891e-01    9.1770551690e-01   -2.1224336266e-01
3.4826853610e-01    2.3541965879e+00    8.7557932250e-01    1.2138544631e+00    4.5170087586e-01    9.1768828013e-01   -2.1219640856e-01
3.4830522314e-01    2.3542778046e+00    8.7549810574e-01    1.2136894685e+00    4.5173454282e-01    9.1767104813e-01   -2.1214945680e-01
3.4834191088e-01    2.3543590168e+00    8.7541689352e-01    1.2135244986e+00    4.5176820977e-01    9.1765382091e-01   -2.1210250741e-01
3.4837859930e-01    2.3544402245e+00    8.7533568582e-01    1.2133595532e+00    4.5180187673e-01    9.1763659846e-01   -2.1205556037e-01
3.4841528841e-01    2.3545214277e+00    8.7525448265e-01    1.2131946324e+00    4.5183554368e-01    9.1761938078e-01   -2.1200861569e-01
3.4845197821e-01    2.3546026263e+00    8.7517328400e-01    1.2130297362e+00    4.5186921064e-01    9.1760216787e-01   -2.1196167336e-01
3.4848866870e-01    2.3546838205e+00    8.7509208989e-01    1.2128648645e+00    4.5190287760e-01    9.1758495974e-01   -2.1191473338e-01
3.4852535988e-01    2.3547650101e+00    8.7501090030e-01    1.2127000174e+00    4.5193654455e-01    9.1756775637e-01   -2.1186779576e-01
3.4856205174e-01    2.3548461951e+00    8.7492971523e-01    1.2125351949e+00    4.5197021151e-01    9.1755055778e-01   -2.1182086049e-01
3.4859874429e-01    2.3549273757e+00    8.7484853469e-01    1.2123703969e+00    4.5200387846e-01    9.1753336395e-01   -2.1177392757e-01
3.4863543753e-01    2.3550085517e+00    8.7476735868e-01    1.2122056235e+00    4.5203754542e-01    9.1751617489e-01   -2.1172699699e-01
3.4867213146e-01    2.3550897232e+00    8.7468618719e-01    1.2120408746e+00    4.5207121237e-01    9.1749899060e-01   -2.1168006877e-01
3.4870882607e-01    2.3551708901e+00    8.7460502023e-01    1.2118761502e+00    4.5210487933e-01    9.1748181108e-01   -2.1163314290e-01
3.4874552137e-01    2.3552520526e+00    8.7452385779e-01    1.2117114504e+00    4.5213854628e-01    9.1746463632e-01   -2.1158621937e-01
3.4878221736e-01    2.3553332105e+00    8.7444269988e-01    1.2115467751e+00    4.5217221324e-01    9.1744746633e-01   -2.1153929819e-01
3.4881891403e-01    2.3554143639e+00    8.7436154649e-01    1.2113821244e+00    4.5220588020e-01    9.1743030110e-01   -2.1149237935e-01
3.4885561140e-01    2.3554955127e+00    8.7428039762e-01    1.2112174981e+00    4.5223954715e-01    9.1741314064e-01   -2.1144546286e-01
3.4889230944e-01    2.3555766571e+00    8.7419925328e-01    1.2110528964e+00    4.5227321411e-01    9.1739598494e-01   -2.1139854871e-01
3.4892900818e-01    2.3556577969e+00    8.7411811345e-01    1.2108883191e+00    4.5230688106e-01    9.1737883400e-01   -2.1135163691e-01
3.4896570760e-01    2.3557389322e+00    8.7403697816e-01    1.2107237664e+00    4.5234054802e-01    9.1736168783e-01   -2.1130472744e-01
3.4900240770e-01    2.3558200630e+00    8.7395584738e-01    1.2105592381e+00    4.5237421497e-01    9.1734454641e-01   -2.1125782032e-01
3.4903910849e-01    2.3559011892e+00    8.7387472113e-01    1.2103947344e+00    4.5240788193e-01    9.1732740976e-01   -2.1121091554e-01
3.4907580997e-01    2.3559823110e+00    8.7379359940e-01    1.2102302551e+00    4.5244154888e-01    9.1731027787e-01   -2.1116401310e-01
3.4911251213e-01    2.3560634282e+00    8.7371248219e-01    1.2100658003e+00    4.5247521584e-01    9.1729315073e-01   -2.1111711299e-01
3.4914921498e-01    2.3561445409e+00    8.7363136950e-01    1.2099013699e+00    4.5250888280e-01    9.1727602836e-01   -2.1107021523e-01
3.4918591851e-01    2.3562256490e+00    8.7355026133e-01    1.2097369641e+00    4.5254254975e-01    9.1725891074e-01   -2.1102331980e-01
3.4922262272e-01    2.3563067527e+00    8.7346915768e-01    1.2095725827e+00    4.5257621671e-01    9.1724179788e-01   -2.1097642671e-01
3.4925932763e-01    2.3563878518e+00    8.7338805855e-01    1.2094082257e+00    4.5260988366e-01    9.1722468978e-01   -2.1092953595e-01
3.4929603321e-01    2.3564689464e+00    8.7330696394e-01    1.2092438932e+00    4.5264355062e-01    9.1720758644e-01   -2.1088264752e-01
3.4933273948e-01    2.3565500365e+00    8.7322587386e-01    1.2090795851e+00    4.5267721757e-01    9.1719048784e-01   -2.1083576143e-01
3.4936944644e-01    2.3566311221e+00    8.7314478829e-01    1.2089153015e+00    4.5271088453e-01    9.1717339401e-01   -2.1078887767e-01
3.4940615408e-01    2.3567122031e+00    8.7306370724e-01    1.2087510423e+00    4.5274455149e-01    9.1715630492e-01   -2.1074199625e-01
3.4944286240e-01    2.3567932796e+00    8.7298263071e-01    1.2085868076e+00    4.5277821844e-01    9.1713922059e-01   -2.1069511715e-01
3.4947957141e-01    2.3568743517e+00    8.7290155869e-01    1.2084225972e+00    4.5281188540e-01    9.1712214102e-01   -2.1064824038e-01
3.4951628109e-01    2.3569554192e+00    8.7282049120e-01    1.2082584113e+00    4.5284555235e-01    9.1710506619e-01   -2.1060136594e-01
3.4955299147e-01    2.3570364821e+00    8.7273942822e-01    1.2080942498e+00    4.5287921931e-01    9.1708799612e-01   -2.1055449383e-01
3.4958970252e-01    2.3571175406e+00    8.7265836976e-01    1.2079301127e+00    4.5291288626e-01    9.1707093080e-01   -2.1050762405e-01
3.4962641426e-01    2.3571985945e+00    8.7257731582e-01    1.2077660000e+00    4.5294655322e-01    9.1705387022e-01   -2.1046075660e-01
3.4966312669e-01    2.3572796440e+00    8.7249626639e-01    1.2076019117e+00    4.5298022017e-01    9.1703681440e-01   -2.1041389147e-01
3.4969983979e-01    2.3573606889e+00    8.7241522149e-01    1.2074378477e+00    4.5301388713e-01    9.1701976332e-01   -2.1036702866e-01
3.4973655358e-01    2.3574417293e+00    8.7233418109e-01    1.2072738082e+00    4.5304755409e-01    9.1700271700e-01   -2.1032016818e-01
3.4977326805e-01    2.3575227651e+00    8.7225314522e-01    1.2071097930e+00    4.5308122104e-01    9.1698567541e-01   -2.1027331002e-01
3.4980998320e-01    2.3576037965e+00    8.7217211385e-01    1.2069458022e+00    4.5311488800e-01    9.1696863858e-01   -2.1022645418e-01
3.4984669904e-01    2.3576848233e+00    8.7209108701e-01    1.2067818358e+00    4.5314855495e-01    9.1695160649e-01   -2.1017960066e-01
3.4988341555e-01    2.3577658457e+00    8.7201006468e-01    1.2066178938e+00    4.5318222191e-01    9.1693457915e-01   -2.1013274947e-01
3.4992013275e-01    2.3578468635e+00    8.7192904686e-01    1.2064539761e+00    4.5321588886e-01    9.1691755655e-01   -2.1008590059e-01
3.4995685063e-01    2.3579278768e+00    8.7184803356e-01    1.2062900827e+00    4.5324955582e-01    9.1690053870e-01   -2.1003905403e-01
3.4999356919e-01    2.3580088856e+00    8.7176702477e-01    1.2061262137e+00    4.5328322277e-01    9.1688352558e-01   -2.0999220979e-01
3.5003028843e-01    2.3580898899e+00    8.7168602050e-01    1.2059623691e+00    4.5331688973e-01    9.1686651722e-01   -2.0994536787e-01
3.5006700835e-01    2.3581708896e+00    8.7160502073e-01    1.2057985487e+00    4.5335055669e-01    9.1684951359e-01   -2.0989852826e-01
3.5010372896e-01    2.3582518849e+00    8.7152402549e-01    1.2056347527e+00    4.5338422364e-01    9.1683251470e-01   -2.0985169097e-01
3.5014045024e-01    2.3583328756e+00    8.7144303475e-01    1.2054709811e+00    4.5341789060e-01    9.1681552056e-01   -2.0980485599e-01
3.5017717221e-01    2.3584138618e+00    8.7136204853e-01    1.2053072337e+00    4.5345155755e-01    9.1679853115e-01   -2.0975802333e-01
3.5021389485e-01    2.3584948435e+00    8.7128106682e-01    1.2051435107e+00    4.5348522451e-01    9.1678154648e-01   -2.0971119298e-01
3.5025061818e-01    2.3585758207e+00    8.7120008962e-01    1.2049798119e+00    4.5351889146e-01    9.1676456655e-01   -2.0966436494e-01
3.5028734219e-01    2.3586567934e+00    8.7111911693e-01    1.2048161375e+00    4.5355255842e-01    9.1674759136e-01   -2.0961753921e-01
3.5032406687e-01    2.3587377616e+00    8.7103814876e-01    1.2046524874e+00    4.5358622537e-01    9.1673062091e-01   -2.0957071579e-01
3.5036079224e-01    2.3588187253e+00    8.7095718509e-01    1.2044888615e+00    4.5361989233e-01    9.1671365519e-01   -2.0952389468e-01
3.5039751828e-01    2.3588996844e+00    8.7087622594e-01    1.2043252600e+00    4.5365355929e-01    9.1669669421e-01   -2.0947707588e-01
3.5043424501e-01    2.3589806391e+00    8.7079527130e-01    1.2041616827e+00    4.5368722624e-01    9.1667973796e-01   -2.0943025938e-01
3.5047097241e-01    2.3590615892e+00    8.7071432116e-01    1.2039981297e+00    4.5372089320e-01    9.1666278645e-01   -2.0938344520e-01
3.5050770050e-01    2.3591425348e+00    8.7063337554e-01    1.2038346009e+00    4.5375456015e-01    9.1664583967e-01   -2.0933663331e-01
3.5054442926e-01    2.3592234759e+00    8.7055243443e-01    1.2036710965e+00    4.5378822711e-01    9.1662889763e-01   -2.0928982374e-01
3.5058115870e-01    2.3593044125e+00    8.7047149782e-01    1.2035076163e+00    4.5382189406e-01    9.1661196031e-01   -2.0924301646e-01
3.5061788882e-01    2.3593853446e+00    8.7039056573e-01    1.2033441603e+00    4.5385556102e-01    9.1659502773e-01   -2.0919621149e-01
3.5065461962e-01    2.3594662722e+00    8.7030963814e-01    1.2031807286e+00    4.5388922797e-01    9.1657809988e-01   -2.0914940883e-01
3.5069135109e-01    2.3595471953e+00    8.7022871506e-01    1.2030173212e+00    4.5392289493e-01    9.1656117676e-01   -2.0910260846e-01
3.5072808325e-01    2.3596281139e+00    8.7014779649e-01    1.2028539379e+00    4.5395656189e-01    9.1654425837e-01   -2.0905581039e-01
3.5076481608e-01    2.3597090279e+00    8.7006688242e-01    1.2026905789e+00    4.5399022884e-01    9.1652734471e-01   -2.0900901463e-01
3.5080154959e-01    2.3597899375e+00    8.6998597287e-01    1.2025272442e+00    4.5402389580e-01    9.1651043577e-01   -2.0896222116e-01
3.5083828378e-01    2.3598708425e+00    8.6990506782e-01    1.2023639336e+00    4.5405756275e-01    9.1649353157e-01   -2.0891542999e-01
3.5087501864e-01    2.3599517431e+00    8.6982416727e-01    1.2022006473e+00    4.5409122971e-01    9.1647663209e-01   -2.0886864112e-01
3.5091175419e-01    2.3600326391e+00    8.6974327124e-01    1.2020373852e+00    4.5412489666e-01    9.1645973734e-01   -2.0882185454e-01
3.5094849040e-01    2.3601135306e+00    8.6966237971e-01    1.2018741473e+00    4.5415856362e-01    9.1644284731e-01   -2.0877507026e-01
3.5098522730e-01    2.3601944177e+00    8.6958149268e-01    1.2017109336e+00    4.5419223057e-01    9.1642596201e-01   -2.0872828828e-01
