#Cosmological Parameters: Om_m = 3.1750000000e-01, Om_l = 6.8250000000e-01, Om_r = 0.0000000000e+00
#a_max = 1.0100000000e+00
#t              eta(t)              w(eta)              z(eta)              a(eta)              H(eta)       H_prime(eta)
4.4058917152e-04    2.5536249317e-01    2.9744134172e+00    1.9219773191e+02    5.1760442015e-03    7.8320047349e+00   -3.0670121656e+01
4.4489479225e-04    2.5619163427e-01    2.9735842761e+00    1.9094922134e+02    5.2097111570e-03    7.8066571783e+00   -3.0471920364e+01
4.4921434775e-04    2.5701810056e-01    2.9727578098e+00    1.8971674377e+02    5.2433781126e-03    7.7815541450e+00   -3.0276264310e+01
4.5354779321e-04    2.5784191777e-01    2.9719339926e+00    1.8849999234e+02    5.2770450682e-03    7.7566917287e+00   -3.0083104778e+01
4.5789508424e-04    2.5866311122e-01    2.9711127991e+00    1.8729866796e+02    5.3107120237e-03    7.7320661098e+00   -2.9892394290e+01
4.6225617690e-04    2.5948170581e-01    2.9702942045e+00    1.8611247909e+02    5.3443789793e-03    7.7076735533e+00   -2.9704086561e+01
4.6663102763e-04    2.6029772605e-01    2.9694781843e+00    1.8494114147e+02    5.3780459349e-03    7.6835104058e+00   -2.9518136468e+01
4.7101959331e-04    2.6111119610e-01    2.9686647143e+00    1.8378437793e+02    5.4117128904e-03    7.6595730939e+00   -2.9334500008e+01
4.7542183121e-04    2.6192213970e-01    2.9678537706e+00    1.8264191815e+02    5.4453798460e-03    7.6358581215e+00   -2.9153134269e+01
4.7983769899e-04    2.6273058026e-01    2.9670453301e+00    1.8151349846e+02    5.4790468016e-03    7.6123620678e+00   -2.8973997393e+01
4.8426715472e-04    2.6353654080e-01    2.9662393695e+00    1.8039886162e+02    5.5127137571e-03    7.5890815852e+00   -2.8797048542e+01
4.8871015684e-04    2.6434004402e-01    2.9654358663e+00    1.7929775665e+02    5.5463807127e-03    7.5660133974e+00   -2.8622247872e+01
4.9316666418e-04    2.6514111225e-01    2.9646347981e+00    1.7820993860e+02    5.5800476683e-03    7.5431542975e+00   -2.8449556501e+01
4.9763663592e-04    2.6593976749e-01    2.9638361429e+00    1.7713516842e+02    5.6137146238e-03    7.5205011457e+00   -2.8278936479e+01
5.0212003163e-04    2.6673603143e-01    2.9630398789e+00    1.7607321277e+02    5.6473815794e-03    7.4980508682e+00   -2.8110350760e+01
5.0661681125e-04    2.6752992541e-01    2.9622459849e+00    1.7502384381e+02    5.6810485350e-03    7.4758004546e+00   -2.7943763178e+01
5.1112693504e-04    2.6832147047e-01    2.9614544399e+00    1.7398683909e+02    5.7147154905e-03    7.4537469571e+00   -2.7779138417e+01
5.1565036366e-04    2.6911068733e-01    2.9606652230e+00    1.7296198137e+02    5.7483824461e-03    7.4318874882e+00   -2.7616441990e+01
5.2018705806e-04    2.6989759643e-01    2.9598783139e+00    1.7194905846e+02    5.7820494016e-03    7.4102192194e+00   -2.7455640214e+01
5.2473697959e-04    2.7068221788e-01    2.9590936925e+00    1.7094786310e+02    5.8157163572e-03    7.3887393794e+00   -2.7296700183e+01
5.2930008989e-04    2.7146457153e-01    2.9583113388e+00    1.6995819277e+02    5.8493833128e-03    7.3674452531e+00   -2.7139589751e+01
5.3387635096e-04    2.7224467692e-01    2.9575312334e+00    1.6897984963e+02    5.8830502683e-03    7.3463341797e+00   -2.6984277508e+01
5.3846572510e-04    2.7302255333e-01    2.9567533570e+00    1.6801264031e+02    5.9167172239e-03    7.3254035515e+00   -2.6830732757e+01
5.4306817497e-04    2.7379821975e-01    2.9559776906e+00    1.6705637583e+02    5.9503841795e-03    7.3046508124e+00   -2.6678925498e+01
5.4768366352e-04    2.7457169492e-01    2.9552042154e+00    1.6611087145e+02    5.9840511350e-03    7.2840734569e+00   -2.6528826404e+01
5.5231215401e-04    2.7534299729e-01    2.9544329131e+00    1.6517594659e+02    6.0177180906e-03    7.2636690286e+00   -2.6380406805e+01
5.5695361002e-04    2.7611214509e-01    2.9536637653e+00    1.6425142465e+02    6.0513850462e-03    7.2434351188e+00   -2.6233638671e+01
5.6160799544e-04    2.7687915626e-01    2.9528967541e+00    1.6333713298e+02    6.0850520017e-03    7.2233693657e+00   -2.6088494589e+01
5.6627527445e-04    2.7764404851e-01    2.9521318618e+00    1.6243290270e+02    6.1187189573e-03    7.2034694529e+00   -2.5944947752e+01
5.7095541152e-04    2.7840683931e-01    2.9513690710e+00    1.6153856864e+02    6.1523859129e-03    7.1837331087e+00   -2.5802971938e+01
5.7564837143e-04    2.7916754588e-01    2.9506083645e+00    1.6065396922e+02    6.1860528684e-03    7.1641581044e+00   -2.5662541497e+01
5.8035411924e-04    2.7992618522e-01    2.9498497251e+00    1.5977894637e+02    6.2197198240e-03    7.1447422539e+00   -2.5523631333e+01
5.8507262028e-04    2.8068277408e-01    2.9490931363e+00    1.5891334540e+02    6.2533867796e-03    7.1254834119e+00   -2.5386216893e+01
